SR_NUMBER,SR_TYPE,SR_SHORT_CODE,CREATED_DEPARTMENT,OWNER_DEPARTMENT,STATUS,ORIGIN,CREATED_DATE,LAST_MODIFIED_DATE,CLOSED_DATE,STREET_ADDRESS,CITY,STATE,ZIP_CODE,STREET_NUMBER,STREET_DIRECTION,STREET_NAME,STREET_TYPE,DUPLICATE,LEGACY_RECORD,LEGACY_SR_NUMBER,PARENT_SR_NUMBER,COMMUNITY_AREA,WARD,ELECTRICAL_DISTRICT,ELECTRICITY_GRID,POLICE_SECTOR,POLICE_DISTRICT,POLICE_BEAT,PRECINCT,SANITATION_DIVISION_DAYS,CREATED_HOUR,CREATED_DAY_OF_WEEK,CREATED_MONTH,X_COORDINATE,Y_COORDINATE,LATITUDE,LONGITUDE,LOCATION,Boundaries - ZIP Codes,Community Areas,Zip Codes,Census Tracts,Wards,Boundaries - Wards (2023-)
SR22-02165924,Wage Complaint,MWC,,BACP - Business Affairs and Consumer Protection,Completed,Mobile Device,12/21/2022 12:51:02 AM,01/06/2023 10:02:34 AM,01/06/2023 10:02:34 AM,2509 W FULLERTON AVE,,,,2509,W,FULLERTON,AVE,false,false,,,22,1,,J017,3,14,1431,7,,0,4,12,1159236.94333426,1915790.6553344,41.924664001,-87.690321,"(41.92466400094061, -87.69032100000192)",1,23,22535,323,41,1
SR22-02162627,Wage Complaint,MWC,BACP - Business Affairs and Consumer Protection,BACP - Business Affairs and Consumer Protection,Completed,Phone Call,12/20/2022 12:05:43 PM,01/10/2023 02:51:58 PM,01/10/2023 02:51:58 PM,660 N STATE ST,,,,660,N,STATE,ST,false,false,,,8,42,,P021,3,18,1832,39,,12,3,12,1176232.844087258,1904824.967283448,41.894206962,-87.62820237,"(41.89420696201353, -87.62820237036387)",55,37,4446,669,36,42
SR22-02162567,Wage Complaint,MWC,BACP - Business Affairs and Consumer Protection,BACP - Business Affairs and Consumer Protection,Completed,E-Mail,12/20/2022 11:59:02 AM,01/10/2023 02:50:07 PM,01/10/2023 02:50:07 PM,660 N STATE ST,,,,660,N,STATE,ST,false,false,,,8,42,,P021,3,18,1832,39,,11,3,12,1176232.844087258,1904824.967283448,41.894206962,-87.62820237,"(41.89420696201353, -87.62820237036387)",55,37,4446,669,36,42
SR22-02162530,Wage Complaint,MWC,BACP - Business Affairs and Consumer Protection,BACP - Business Affairs and Consumer Protection,Completed,E-Mail,12/20/2022 11:53:20 AM,01/10/2023 02:49:19 PM,01/10/2023 02:49:19 PM,660 N STATE ST,,,,660,N,STATE,ST,false,false,,,8,42,,P021,3,18,1832,39,,11,3,12,1176232.844087258,1904824.967283448,41.894206962,-87.62820237,"(41.89420696201353, -87.62820237036387)",55,37,4446,669,36,42
SR22-02162481,Wage Complaint,MWC,BACP - Business Affairs and Consumer Protection,BACP - Business Affairs and Consumer Protection,Completed,E-Mail,12/20/2022 11:47:02 AM,01/10/2023 02:47:49 PM,01/10/2023 02:47:49 PM,660 N STATE ST,,,,660,N,STATE,ST,false,false,,,8,42,,P021,3,18,1832,39,,11,3,12,1176232.844087258,1904824.967283448,41.894206962,-87.62820237,"(41.89420696201353, -87.62820237036387)",55,37,4446,669,36,42
SR22-02158300,Wage Complaint,MWC,311 City Services,BACP - Business Affairs and Consumer Protection,Completed,Phone Call,12/19/2022 03:36:09 PM,02/01/2023 04:02:18 PM,02/01/2023 04:02:18 PM,5040 N PULASKI RD,,,,5040,N,PULASKI,RD,false,false,,,13,39,,F010,1,17,1712,8,,15,2,12,1148634.622559214,1933378.494144953,41.973138001,-87.728823,"(41.97313800094081, -87.7288230000019)",48,13,21869,748,38,39
SR22-02138876,Wage Complaint,MWC,BACP - Business Affairs and Consumer Protection,BACP - Business Affairs and Consumer Protection,Completed,E-Mail,12/15/2022 12:22:01 PM,03/09/2023 02:27:27 PM,03/09/2023 02:27:27 PM,4759 W FULLERTON AVE,,,,4759,W,FULLERTON,AVE,false,false,,,19,31,,E017,2,25,2522,21,,12,5,12,1144023.79501537,1915502.602764291,41.924172994,-87.746228493,"(41.92417299357653, -87.74622849263783)",2,19,22615,289,17,31
SR22-02134205,Wage Complaint,MWC,,BACP - Business Affairs and Consumer Protection,Completed,Internet,12/14/2022 02:18:40 PM,02/06/2023 10:59:15 AM,02/06/2023 10:59:15 AM,719 S STATE ST,,,,719,S,STATE,ST,false,false,,,32,4,,Q024,2,01,0123,16,,14,4,12,1176570.598906528,1896963.123747054,41.872626001,-87.6271995,"(41.87262600094042, -87.62719950000192)",35,38,14913,368,10,9
SR22-02133313,Wage Complaint,MWC,,BACP - Business Affairs and Consumer Protection,Completed,Mobile Device,12/14/2022 12:31:12 PM,01/26/2023 08:50:02 AM,01/26/2023 08:50:02 AM,2031 W CHICAGO AVE,,,,2031,W,CHICAGO,AVE,false,false,,,24,36,,K021,2,12,1221,32,,12,4,12,1162566.914617266,1905195.8806262,41.895522001,-87.6783825,"(41.89552200094049, -87.6783825000019)",28,25,21560,547,41,36
SR22-02132457,Wage Complaint,MWC,BACP - Business Affairs and Consumer Protection,BACP - Business Affairs and Consumer Protection,Completed,E-Mail,12/14/2022 10:39:30 AM,02/15/2023 10:32:05 AM,02/15/2023 10:32:05 AM,1010 N HOOKER ST,,,,1010,N,HOOKER,ST,false,false,,,8,27,,N020,2,18,1822,35,,10,4,12,1170622.893368845,1907036.423705197,41.900400001,-87.648741,"(41.900400000940536, -87.6487410000019)",49,37,22620,108,46,27
SR22-02131237,Wage Complaint,MWC,,BACP - Business Affairs and Consumer Protection,Completed,Mobile Device,12/14/2022 08:11:48 AM,01/17/2023 12:55:35 PM,01/17/2023 12:55:35 PM,2021 W CHICAGO AVE,,,,2021,W,CHICAGO,AVE,false,false,,,24,36,,K021,2,12,1221,32,,8,4,12,1162658.801973056,1905196.582246293,41.895522001,-87.678045,"(41.89552200094049, -87.6780450000019)",28,25,21560,547,41,36
SR22-02119304,Wage Complaint,MWC,311 City Services,BACP - Business Affairs and Consumer Protection,Completed,Phone Call,12/12/2022 09:17:31 AM,06/07/2023 02:15:27 PM,06/07/2023 02:15:27 PM,6810 W ARCHER AVE,,,,6810,W,ARCHER,AVE,false,false,,,56,23,,Y134,1,08,0811,12,,9,2,12,1131854.827322837,1867412.761818709,41.792427001,-87.792057,"(41.792427000940144, -87.7920570000019)",7,53,22268,588,6,23
SR22-02110051,Wage Complaint,MWC,,BACP - Business Affairs and Consumer Protection,Completed,Internet,12/09/2022 01:46:26 PM,05/09/2023 07:57:58 AM,05/09/2023 07:57:58 AM,2039 N MILWAUKEE AVE,,,,2039,N,MILWAUKEE,AVE,false,false,,,22,1,,J017,3,14,1431,9,,13,6,12,1159401.709600302,1913581.308798386,41.918598001,-87.6897765,"(41.918598000940555, -87.6897765000019)",1,23,22535,323,41,1
SR22-02106863,Wage Complaint,MWC,,BACP - Business Affairs and Consumer Protection,Completed,Internet,12/09/2022 01:52:48 AM,01/26/2023 08:48:42 AM,01/26/2023 08:48:42 AM,640 W CERMAK RD,,,,640,W,CERMAK,RD,false,false,,,31,25,,O026,3,12,1235,14,,1,6,12,1172207.115812686,1889800.642874107,41.853069001,-87.643431,"(41.85306900094035, -87.64343100000191)",40,33,21194,249,26,25
SR22-02077333,Wage Complaint,MWC,,BACP - Business Affairs and Consumer Protection,Completed,Internet,12/04/2022 05:47:52 AM,06/16/2023 04:58:50 PM,06/16/2023 04:58:50 PM,2407 N ELSTON AVE,,,,2407,N,ELSTON,AVE,false,false,,,22,32,,L016,3,14,1432,37,,5,1,12,1162710.222105162,1916099.02250861,41.925438001,-87.67755,"(41.925438000940595, -87.6775500000019)",16,23,22535,240,40,32
SR22-02067941,Wage Complaint,MWC,,BACP - Business Affairs and Consumer Protection,Completed,Internet,12/02/2022 04:45:11 AM,01/19/2023 08:45:59 AM,01/19/2023 08:45:59 AM,1281 N MILWAUKEE AVE,,,,1281,N,MILWAUKEE,AVE,false,false,,,24,1,,L019,3,14,1433,21,,4,6,12,1165159.006051106,1908741.59425676,41.905197001,-87.6687615,"(41.90519700094057, -87.6687615000019)",4,25,21560,482,41,1
SR22-02066131,Wage Complaint,MWC,311 City Services,BACP - Business Affairs and Consumer Protection,Completed,Phone Call,12/01/2022 03:27:48 PM,01/12/2023 09:44:12 AM,01/12/2023 09:44:12 AM,11828 S WESTERN AVE,,,,11828,S,WESTERN,AVE,false,false,,,75,19,,J050,1,22,2212,47,,15,5,12,1162430.159371987,1825992.749823927,41.678181001,-87.6810915,"(41.67818100093972, -87.6810915000019)",33,74,22212,379,42,19
SR22-02058807,Wage Complaint,MWC,BACP - Business Affairs and Consumer Protection,BACP - Business Affairs and Consumer Protection,Completed,Phone Call,11/30/2022 11:45:41 AM,01/05/2023 04:16:53 PM,01/05/2023 04:16:53 PM,118 S CLINTON ST,,,,118,S,CLINTON,ST,false,false,,,28,34,,O023,2,01,0121,16,,11,4,11,1172667.645475745,1899594.541037522,41.879934001,-87.641451,"(41.879934000940445, -87.64145100000192)",45,29,4452,786,36,34
SR22-02053832,Wage Complaint,MWC,BACP - Business Affairs and Consumer Protection,BACP - Business Affairs and Consumer Protection,Completed,E-Mail,11/29/2022 01:06:30 PM,12/22/2022 11:19:07 AM,12/22/2022 11:19:07 AM,1 N LA SALLE ST,,,,1,N,LA SALLE,ST,false,false,,,32,34,,P022,2,01,0122,9,,13,3,11,1175232.791805043,1900484.511493093,41.882319001,-87.6320055,"(41.88231900094045, -87.63200550000191)",41,38,14310,92,36,34
SR22-02045721,Wage Complaint,MWC,311 City Services,BACP - Business Affairs and Consumer Protection,Completed,Phone Call,11/28/2022 10:10:27 AM,12/08/2022 10:33:37 AM,12/08/2022 10:33:37 AM,1655 S BLUE ISLAND AVE,,,,1655,S,BLUE ISLAND,AVE,false,false,,,31,25,,M026,3,12,1233,24,,10,2,11,1167489.776085754,1891679.329514711,41.858326983,-87.660691106,"(41.85832698250866, -87.66069110569697)",43,33,14920,365,26,25
SR22-02006594,Wage Complaint,MWC,BACP - Business Affairs and Consumer Protection,BACP - Business Affairs and Consumer Protection,Completed,E-Mail,11/18/2022 05:16:47 PM,06/06/2023 01:18:45 PM,06/06/2023 01:18:45 PM,500 N SACRAMENTO AVE,,,,500,N,SACRAMENTO,AVE,false,false,,,23,27,,I021,2,12,1221,31,,17,6,11,1155929.760544849,1903371.801259475,41.890653001,-87.7028085,"(41.89065300094049, -87.70280850000191)",28,24,21184,177,46,27
SR22-02006395,Wage Complaint,MWC,BACP - Business Affairs and Consumer Protection,BACP - Business Affairs and Consumer Protection,Completed,E-Mail,11/18/2022 04:28:24 PM,08/31/2023 03:01:26 PM,08/31/2023 03:01:26 PM,311 W 31ST ST,,,,311,W,31ST,ST,false,false,,,34,11,,P029,1,09,0915,32,,16,6,11,1174621.694829312,1884316.68031433,41.837967001,-87.6347325,"(41.8379670009403, -87.63473250000192)",40,35,21194,376,48,7
SR22-02005025,Wage Complaint,MWC,,BACP - Business Affairs and Consumer Protection,Completed,Internet,11/18/2022 12:42:41 PM,01/19/2023 08:44:12 AM,01/19/2023 08:44:12 AM,932 W RANDOLPH ST,,,,932,W,RANDOLPH,ST,false,false,,,28,27,,N022,2,12,1224,45,,12,6,11,1169984.953465776,1901288.402859927,41.884641001,-87.651252,"(41.88464100094046, -87.65125200000192)",44,29,14917,63,46,27
SR22-01999743,Wage Complaint,MWC,311 City Services,BACP - Business Affairs and Consumer Protection,Completed,Phone Call,11/17/2022 02:03:53 PM,01/05/2023 10:23:46 AM,01/05/2023 10:23:46 AM,7545 S WESTERN AVE,,,,7545,S,WESTERN,AVE,false,false,,,70,18,,K040,3,08,0835,12,,14,5,11,1161904.998654824,1854469.554014606,41.756337001,-87.6822255,"(41.75633700094001, -87.68222550000192)",59,69,21554,498,30,18
SR22-01999676,Wage Complaint,MWC,311 City Services,BACP - Business Affairs and Consumer Protection,Completed,Phone Call,11/17/2022 01:55:50 PM,01/05/2023 10:22:36 AM,01/05/2023 10:22:36 AM,3533 S ARCHER AVE,,,,3533,S,ARCHER,AVE,false,false,,,59,12,,K030,1,09,0912,3,,13,5,11,1162734.236890363,1881172.843629101,41.829597001,-87.678441,"(41.829597000940275, -87.67844100000191)",37,56,14924,719,1,12
SR22-01998326,Wage Complaint,MWC,311 City Services,BACP - Business Affairs and Consumer Protection,Completed,Phone Call,11/17/2022 10:48:32 AM,01/19/2023 08:41:42 AM,01/19/2023 08:41:42 AM,11828 S WESTERN AVE,,,,11828,S,WESTERN,AVE,false,false,,,75,19,,J050,1,22,2212,47,,10,5,11,1162430.159371987,1825992.749823927,41.678181001,-87.6810915,"(41.67818100093972, -87.6810915000019)",33,74,22212,379,42,19
SR22-01984497,Wage Complaint,MWC,,BACP - Business Affairs and Consumer Protection,Completed,Mobile Device,11/14/2022 07:48:38 PM,01/12/2023 09:26:11 AM,01/12/2023 09:26:11 AM,2819 S KEDZIE AVE,,,,2819,S,KEDZIE,AVE,false,false,,,30,25,,I028,3,10,1033,15,,19,2,11,1155603.591418561,1885002.779897094,41.840253001,-87.7045005,"(41.840253000940315, -87.70450050000191)",57,32,21569,124,1,25
SR22-01972282,Wage Complaint,MWC,311 City Services,BACP - Business Affairs and Consumer Protection,Completed,Phone Call,11/11/2022 09:51:59 PM,11/15/2022 03:03:48 PM,11/15/2022 03:03:48 PM,3304 N WESTERN AVE,,,,3304,N,WESTERN,AVE,false,false,,,5,47,,J014,2,19,1921,48,,21,6,11,1159337.688562544,1921947.600758817,41.941557001,-87.689781,"(41.94155700094068, -87.6897810000019)",39,46,21538,110,18,47
SR22-01957594,Wage Complaint,MWC,BACP - Business Affairs and Consumer Protection,BACP - Business Affairs and Consumer Protection,Completed,Fax,11/09/2022 11:16:44 AM,01/10/2023 03:07:42 PM,01/10/2023 03:07:42 PM,302 N GREEN ST,,,,302,N,GREEN,ST,false,false,,,28,27,,N022,1,12,1214,45,,11,4,11,1170663.016603146,1902123.129822438,41.886916732,-87.64873762,"(41.886916731984456, -87.64873761973733)",44,29,14917,63,46,27
SR22-01947451,Wage Complaint,MWC,311 City Services,BACP - Business Affairs and Consumer Protection,Completed,Phone Call,11/07/2022 03:00:24 PM,12/19/2022 11:36:28 AM,12/19/2022 11:36:28 AM,2517 W CERMAK RD,,,,2517,W,CERMAK,RD,false,false,,,30,28,,J027,3,10,1034,19,,15,2,11,1159886.025972274,1889055.502664178,41.851287001,-87.688674,"(41.851287000940374, -87.6886740000019)",43,32,14920,263,23,28
SR22-01942621,Wage Complaint,MWC,311 City Services,BACP - Business Affairs and Consumer Protection,Completed,Phone Call,11/06/2022 11:34:59 PM,11/21/2022 10:38:32 AM,11/21/2022 10:38:32 AM,2026 N CLARK ST,,,,2026,N,CLARK,ST,false,false,,,7,43,,P017,1,18,1814,24,,23,1,11,1173718.067199182,1913926.001192488,41.919237001,-87.637167,"(41.91923700094061, -87.6371670000019)",16,68,21190,207,34,43
SR22-01939332,Wage Complaint,MWC,311 City Services,BACP - Business Affairs and Consumer Protection,Completed,Phone Call,11/06/2022 10:25:19 AM,12/19/2022 11:34:40 AM,12/19/2022 11:34:40 AM,2811 N NARRAGANSETT AVE,,,,2811,N,NARRAGANSETT,AVE,false,false,,,19,30,,A015,1,25,2511,24,,10,1,11,1133279.344365279,1918052.12282341,41.931364256,-87.785648813,"(41.93136425648099, -87.7856488130266)",52,19,22254,81,44,30
SR22-01923662,Wage Complaint,MWC,BACP - Business Affairs and Consumer Protection,BACP - Business Affairs and Consumer Protection,Completed,E-Mail,11/03/2022 10:49:48 AM,11/04/2022 11:53:47 AM,11/04/2022 11:53:47 AM,4140 W BELMONT AVE,,,60641,4140,W,BELMONT,AVE,false,false,,,16,30,,F014,3,17,1731,23,,10,5,11,1148098.193948,1921054.845664,41.939331321,-87.731114043,"(41.93933132055417, -87.73111404255744)",21,16,22618,329,21,30
SR22-01920280,Wage Complaint,MWC,311 City Services,BACP - Business Affairs and Consumer Protection,Open,Phone Call,11/02/2022 05:01:10 PM,11/04/2022 11:55:27 AM,,4140 W BELMONT AVE,,,60641,4140,W,BELMONT,AVE,false,false,,,16,30,,F014,3,17,1731,23,,17,4,11,1148098.193948,1921054.845664,41.939331321,-87.731114043,"(41.93933132055417, -87.73111404255744)",21,16,22618,329,21,30
SR22-01910312,Wage Complaint,MWC,BACP - Business Affairs and Consumer Protection,BACP - Business Affairs and Consumer Protection,Completed,Phone Call,11/01/2022 08:38:18 AM,06/07/2023 02:19:20 PM,06/07/2023 02:19:20 PM,1655 W DIVISION ST,,,60622,1655,W,DIVISION,ST,false,false,,,24,1,,L020,1,12,1213,10,,8,3,11,1164937.392463,1907953.287874,41.903038541,-87.66959796,"(41.90303854125293, -87.66959796030073)",4,25,21560,518,41,1
SR22-01905641,Wage Complaint,MWC,BACP - Business Affairs and Consumer Protection,BACP - Business Affairs and Consumer Protection,Completed,Phone Call,10/31/2022 11:09:53 AM,03/08/2023 11:39:12 AM,03/08/2023 11:39:12 AM,8140 S LANGLEY AVE,,,60619,8140,S,LANGLEY,AVE,false,false,,,44,6,,R041,3,06,0631,34,,11,2,10,1182233.145477,1851005.493091,41.746384908,-87.607834411,"(41.74638490809897, -87.60783441133198)",61,40,21546,11,32,4
SR22-01905319,Wage Complaint,MWC,BACP - Business Affairs and Consumer Protection,BACP - Business Affairs and Consumer Protection,Completed,E-Mail,10/31/2022 10:32:58 AM,06/05/2023 01:04:45 PM,06/05/2023 01:04:45 PM,413 N CLARK ST,,,60654,413,N,CLARK,ST,false,false,,,8,42,,P021,3,18,1831,32,,10,2,10,1175470.773324,1903263.565842,41.889939544,-87.631048125,"(41.88993954407857, -87.63104812523503)",55,37,4446,670,36,42
SR22-01905202,Wage Complaint,MWC,BACP - Business Affairs and Consumer Protection,BACP - Business Affairs and Consumer Protection,Completed,E-Mail,10/31/2022 10:20:06 AM,11/07/2022 01:58:16 PM,11/07/2022 01:58:16 PM,223 W JACKSON BLVD,,,60606,223,W,JACKSON,BLVD,false,false,,,32,42,,P023,2,01,0122,9,,10,2,10,1174535.442733,1898868.460463,41.877900067,-87.634614458,"(41.877900066501816, -87.63461445789284)",46,38,14914,92,36,34
SR22-01904985,Wage Complaint,MWC,BACP - Business Affairs and Consumer Protection,BACP - Business Affairs and Consumer Protection,Completed,E-Mail,10/31/2022 09:55:16 AM,11/01/2022 11:29:43 AM,11/01/2022 11:29:43 AM,1253 W BELMONT AVE,,,60657,1253,W,BELMONT,AVE,false,false,,,6,32,,M015,3,19,1933,7,,9,2,10,1167178.943798,1921340.704932,41.939726494,-87.660978785,"(41.939726494107234, -87.66097878508613)",22,57,4449,679,40,32
SR22-01894108,Wage Complaint,MWC,311 City Services,BACP - Business Affairs and Consumer Protection,Completed,Phone Call,10/28/2022 01:37:45 PM,12/06/2022 11:49:11 AM,12/06/2022 11:49:11 AM,3661 N ELSTON AVE,,,60618,3661,N,ELSTON,AVE,false,false,,,16,33,,H013,3,17,1733,16,,13,6,10,1153687.766896,1924233.518941,41.947944244,-87.71048579,"(41.94794424412159, -87.7104857899362)",39,16,21538,325,20,33
SR22-01886103,Wage Complaint,MWC,311 City Services,BACP - Business Affairs and Consumer Protection,Completed,Phone Call,10/27/2022 07:52:33 AM,12/06/2022 11:38:35 AM,12/06/2022 11:38:35 AM,10000 W OHARE AIRPORT,,,60666,10000,W,OHARE AIRPORT,,false,false,,,76,41,,,5,16,1654,27,,7,5,10,1101468.130279,1935483.632274,41.979697081,-87.902230781,"(41.97969708053543, -87.90223078102574)",38,75,16197,668,29,41
SR22-01883241,Wage Complaint,MWC,311 City Services,BACP - Business Affairs and Consumer Protection,Completed,Phone Call,10/26/2022 02:41:05 PM,10/27/2022 03:33:19 PM,10/27/2022 03:33:19 PM,3508 N BROADWAY ST,,,60657,3508,N,BROADWAY,ST,false,false,,,6,46,,O014,2,19,1925,31,,14,4,10,1171091.678681,1923563.109396,41.945739746,-87.646532961,"(41.94573974631027, -87.64653296074262)",22,57,4449,692,39,46
SR22-01883173,Wage Complaint,MWC,311 City Services,BACP - Business Affairs and Consumer Protection,Completed,Phone Call,10/26/2022 02:30:50 PM,12/06/2022 11:34:16 AM,12/06/2022 11:34:16 AM,2755 N MCVICKER AVE,,,60639,2755,N,MCVICKER,AVE,false,false,,,19,30,,A016,1,25,2512,5,,14,4,10,1135636.143197,1917895.287269,41.930892243,-87.776991588,"(41.93089224332822, -87.7769915875474)",2,19,22615,78,21,30
SR22-01850511,Wage Complaint,MWC,311 City Services,BACP - Business Affairs and Consumer Protection,Completed,Phone Call,10/20/2022 02:58:03 PM,01/03/2023 10:27:17 AM,01/03/2023 10:27:17 AM,1254 S WESTERN AVE,,,60608,1254,S,WESTERN,AVE,false,false,,,28,28,,J025,2,10,1023,11,,14,5,10,1160568.049939,1894017.537266,41.86488925,-87.686033512,"(41.864889249646836, -87.68603351186884)",43,29,14920,96,23,28
SR22-01849949,Wage Complaint,MWC,311 City Services,BACP - Business Affairs and Consumer Protection,Completed,Phone Call,10/20/2022 01:54:41 PM,12/06/2022 11:27:23 AM,12/06/2022 11:27:23 AM,51 W 79TH ST,,,60620,51,W,79TH,ST,false,false,,,44,17,,P041,2,06,0623,21,,13,5,10,1177084.942502,1852488.939,41.750573227,-87.626653843,"(41.75057322705901, -87.62665384286593)",59,40,21554,1,31,17
SR22-01845989,Wage Complaint,MWC,,BACP - Business Affairs and Consumer Protection,Completed,Mobile Device,10/19/2022 08:31:11 PM,12/06/2022 11:09:41 AM,12/06/2022 11:09:41 AM,955 W WEBSTER AVE,,,60614,955,W,WEBSTER,AVE,false,false,,,7,43,,N017,1,18,1812,41,,20,4,10,1169364.371766,1914742.711965,41.921573967,-87.653139106,"(41.92157396659357, -87.6531391057688)",16,68,21190,744,34,43
SR22-01837614,Wage Complaint,MWC,Alderman,BACP - Business Affairs and Consumer Protection,Completed,Alderman's Office,10/18/2022 02:36:52 PM,10/19/2022 10:00:58 AM,10/19/2022 10:00:58 AM,11828 S WESTERN AVE,,,60643,11828,S,WESTERN,AVE,false,false,,,75,19,,J050,1,22,2212,47,,14,3,10,1162430.149179,1825993.438699,41.678182892,-87.681091518,"(41.67818289155148, -87.68109151822372)",33,74,22212,379,42,19
